Price,Bedrooms,Bathrooms,SquareFeet,YearBuilt,GarageSpaces,LotSize,ZipCode,CrimeRate,SchoolRating,PricePerSqFt
221958,1,1.9,4827,1979,2,1.45,82240,48.6,5,45.98259788688627
771155,2,2.0,1035,1987,2,1.75,74315,92.03,9,745.0772946859903
231932,1,3.0,2769,1982,1,1.46,79249,52.08,3,83.76020223907548
465838,3,3.3,2708,1907,3,1.62,80587,61.65,1,172.0228951255539
359178,4,3.4,1175,1994,2,0.74,20756,15.66,4,305.68340425531915
744167,1,3.4,4330,1920,0,1.65,78011,4.37,9,171.86304849884527
210268,1,1.3,3435,1980,2,0.25,46378,11.08,4,61.21339155749636
832180,2,2.5,2370,1986,0,1.8,14255,59.85,2,351.1308016877637
154886,2,1.2,3360,2000,1,1.14,24484,9.5,5,46.09702380952381
237337,3,2.6,4191,2017,0,1.65,66549,37.6,3,56.63015986638034
621430,4,2.3,3765,1979,2,0.96,44503,55.01,9,165.05444887118193
187498,2,3.7,4443,1969,2,1.32,83794,38.87,4,42.20076524870583
999159,1,2.1,4650,1971,2,1.1,55113,16.37,6,214.87290322580645
275203,4,1.4,1672,1924,1,1.49,84069,27.38,2,164.5950956937799
291335,4,1.4,2052,1981,1,0.26,15249,92.83,6,141.9761208576998
378167,1,3.3,2114,1988,3,0.21,29201,67.6,3,178.88694418164616
141090,2,2.9,3698,1911,2,0.57,68576,49.6,9,38.15305570578691
429365,1,1.3,877,1914,0,0.4,19686,1.27,2,489.5838084378563
164820,4,1.3,3421,1958,1,1.76,63363,99.24,9,48.178895059923995
887201,5,3.1,1400,1925,2,0.52,10661,67.15,5,633.715
421879,5,1.2,1865,2004,2,1.95,54843,31.69,8,226.20857908847185
818315,3,3.5,2936,2008,1,0.74,70963,87.93,2,278.7176430517711
427069,1,3.1,3249,1925,3,0.45,52828,25.84,6,131.44629116651276
876997,1,1.2,3143,1946,1,1.6,58604,54.4,3,279.03181673560294
299041,3,1.3,2663,1931,1,1.35,20526,63.61,5,112.29478032294405
891743,3,4.0,2118,1909,0,1.05,78910,22.11,8,421.0306893295562
203355,3,2.1,4397,1915,0,1.16,35592,97.84,1,46.24857857630202
335796,4,2.1,4562,1970,3,1.47,38982,74.82,5,73.60718982902236
314176,1,3.4,2990,1916,2,0.53,10207,55.78,3,105.07558528428093
284779,4,3.8,1792,1922,1,1.99,98733,18.06,4,158.91685267857142
447449,3,4.0,3512,1925,3,1.95,78619,5.39,2,127.40575170842824
521909,1,3.3,2992,1984,0,1.34,39328,32.01,9,174.43482620320856
358795,4,2.1,2048,1985,1,0.48,56479,75.32,3,175.19287109375
586232,4,1.3,3854,2021,2,1.39,30103,26.93,2,152.11001556824078
600186,3,3.3,4833,1906,0,0.24,49891,53.96,9,124.18497827436374
256730,1,2.7,2797,1913,0,0.16,20754,72.79,7,91.78762960314623
970910,3,2.3,4487,1978,0,0.59,91437,10.79,6,216.38288388678404
484681,1,3.7,2951,2016,3,0.98,82982,68.53,1,164.24296848525924
249503,5,1.3,4818,1906,2,1.75,65922,9.19,5,51.785595682855956
754811,2,2.5,3910,1908,1,1.48,58231,96.51,3,193.0462915601023
627035,2,1.0,2770,2014,3,1.51,39301,48.84,1,226.3664259927798
748143,2,2.4,997,1947,3,0.91,72711,15.07,4,750.3941825476429
552366,3,1.2,3426,1971,3,0.76,51323,34.24,2,161.22767075306479
165725,5,1.4,2002,2013,0,0.8,28752,41.34,2,82.77972027972028
229981,1,1.4,2835,1958,2,1.98,92205,75.82,3,81.12204585537918
